IP	端口	title
106.15.162.113	80	微医美云系统
106.15.176.159	80	云健康名医诊疗暨健康管理平台
106.3.37.58	80	海峡两岸生殖助孕医联体
106.39.88.146	8080	远程会诊系统登录
111.12.255.52	8080	远程医疗影像诊断系统
111.13.171.163	80	登录--远程医疗管理平台
111.203.235.44	80	远程睡眠医疗系统后台管理中心
111.203.246.237	80	北京大学国际医院远程会诊系统
111.207.220.5	80	海纳医信医疗影像信息管理系统
111.207.220.5	8080	北京市第二医院区域PACS远程会诊
111.207.220.5	81	海纳医信login
111.207.220.5	8090	海纳医信miPlatform
111.207.220.5	8000	海纳医信logon
111.231.112.122	88	医孚科技云管理
112.29.246.186	80	颍上县中医院医共体转诊系统登陆
112.33.16.233	8081	远程医疗协同平台
112.74.217.222	80	云南省医师协会
112.74.45.106	80	医智云-智慧医疗服务平台
113.200.93.41	82	安康市中医医院云PACS系统
113.240.250.151	8090	湖南珂信远程会诊平台登录
113.31.133.139	443	39互联网医院-方便、权威的疑难重症二次诊断远程会诊平台
113.59.36.156	82	海南联通医疗影像云管理系统
114.115.222.11	8080	云诊所平台登录
114.119.7.234	80	健康管理_网络医院_佑康源云健康管理平台
114.119.7.234	443	健康管理_网络医院_佑康源云健康管理平台
114.215.134.217	8084	国卫远程医疗综合管理系统
114.215.134.217	80	国卫云医
114.215.134.217	80	国卫云医
114.215.134.217	8082	国卫云医
114.215.134.217	80	国卫云医
114.215.134.217	80	国卫云医
114.215.252.136	80	药房中心 - 随身医医疗云系统
114.55.172.164	80	智医汇远程会诊与教学网络平台
114.55.35.180	8086	民康诊所云
114.55.35.180	8081	民康诊所云
114.55.35.180	8084	民康诊所云
114.55.69.212	443	安链云-聚焦金融和健康医疗的企业级云服务
114.55.82.33	80	惠每云诊所
114.80.89.185	80	医药云
115.236.50.152	80	乌班图云网络诊断平台
115.238.253.173	443	医云病理登录
115.238.253.173	80	医云病理登录
115.28.173.117	80	微医美云系统|整形美容医院HIS信息管理系统-医美行业智能SaaS系统
115.28.183.240	80	方正慧云智能题库及诊断系统
115.28.221.4	8080	云健康医疗服务
115.28.254.121	80	京医云
115.28.76.180	80	云诊室后台管理系统
115.28.90.52	80	远程医疗信息系统
115.29.168.144	80	深圳方典经方中医馆_医时空_大医云系统_中医馆运营管理系统
115.29.240.110	80	医疗云系统
115.29.240.110	80	医疗云系统
115.29.53.58	80	医养云
116.196.117.251	8080	中大新华云影像&nbsp;&nbsp;--&nbsp;&nbsp; 新华创新谷国际控股有限公司__2017 区域医疗专版__build20171025
116.255.134.203	8080	河南医联体
116.55.242.206	80	云南协和医院
116.62.107.136	80	牙医维小美医疗云
116.62.107.136	8080	牙医维小美医疗云
116.62.162.188	80	首页-泛在医养云
116.62.17.71	80	爱医康-医疗物资供应链云服务
116.62.17.71	80	爱医康医用耗材云服务
116.62.185.103	8080	惠康益生医疗供应链区域云平台
116.62.216.162	443	众医云销
116.62.244.5	80	智能远程医疗平台
116.62.33.123	8080	群医云后台管理系统 - 登录
116.62.36.252	9999	牙医维小美医疗云
117.121.100.212	80	奥胜智慧医疗供应链区域云平台
117.121.100.248	443	心医国际医联体下载中心
117.132.13.230	8080	远程医疗网
117.158.3.103	8081	郑州颐和医院远程会诊中心
117.158.69.215	80	南阳医专第一附属医院远程医学中心
117.161.11.38	8090	医疗云|登录-京颐医疗云
117.32.250.6	8080	远程会诊系统登录页面
117.34.111.114	80	威伐云为中国社区医疗服务
117.78.42.234	8080和8086	神州医疗放疗云平台 - 登录
117.78.42.234	8085	神州医疗放疗云平台 - 登录
117.78.43.5	443	医链云平台
117.78.48.77	9080	睢县中医院远程影像诊断中心
117.78.48.77	7071	阳光康众医疗影像云管理平台
117.78.48.77	9090	云帕斯医疗影像云平台
117.78.49.181	8010	远程诊疗
118.122.93.202	8090	银海医养云平台
118.178.108.161	443	医真云 - 互联网精准诊治医疗影像云平台
118.178.153.56	80	欢迎访问福怡数字病理远程诊断软件
118.178.154.155	80	欢迎访问福怡数字病理远程诊断软件
118.178.46.32	443	MMC代谢中心远程会诊系统
118.178.88.127	8080	苏北医疗云中心
118.190.100.81	443	登录 - 医云健康
118.190.106.66	80	欢迎访问宠物云医院管理平台
118.190.141.27	80	汇大夫皮肤云医
118.190.141.27	443	汇大夫皮肤云医
118.190.173.224	8080	云医邦 医学会议移动智能应用
118.190.173.224	8080	云医邦 医学会议移动智能应用
118.190.177.3	80	医云问答
118.24.72.125	6001	医协云业务管理平台
118.26.64.130	443	移睿云病历-数据驱动的医疗服务平台-嘉美在线
118.31.128.140	80	安链云-聚焦金融和健康医疗的企业级云服务
118.31.128.140	443	安链云-聚焦金融和健康医疗的企业级云服务
118.31.131.42	443	安链云-聚焦金融和健康医疗的企业级云服务
118.89.177.40	80	安链云-聚焦金融和健康医疗的企业级云服务
119.23.116.78	80	国内最大的专科医联体O2O平台
119.23.176.65	443	家云医疗服务平台
119.23.21.134	80	牙医助手云服务系统登录
119.23.244.79	80	安和寿云诊所
119.23.67.62	80	安和寿云诊所
119.29.14.109	8080	汇医影像云用户管理端
119.29.14.109	80	汇医影像云用户管理端
119.29.14.109	443	汇医影像云用户管理端
119.37.197.43	9999	邵逸夫医院PI15远程协作系统
120.132.13.223	80	全国多学科医疗协作体云平台-患者登录
120.132.13.223	443	全国多学科医疗协作体云平台
120.194.18.84	80	首页-河南省远程医学中心
120.194.18.84	8443	首页-河南省远程医学中心
120.198.40.227	80、443、8083	消息提示-惠州市中医医院健康管理云平台
120.236.166.150	81	后台管理-91360数字病理远程会诊平台
120.24.177.76	1010	智慧.健康.云医疗平台
120.24.217.148	443	医云急救
120.24.237.147	8083	医云康泰-首页
120.24.237.147	80	医云康泰-首页
120.24.248.229	80	登录页面 - 远程医疗会诊平台 Power by 榆中县第一人民医院
120.24.49.101	8080	医云网--移动医疗云服务
120.24.49.101	80	医云网--移动医疗云服务
120.24.77.11	80	黔医云
120.24.79.123	443	海速医院供应链云平台
120.24.81.251	80	医云急救
120.25.124.115	1080	Med-In-One 美医云
120.25.124.115	443	Med-In-One 美医云
120.25.134.178	80	安和寿云诊所
120.25.134.178	80	安和寿云诊所
120.26.126.182	443	医真云
120.26.126.182	80	医真云
120.26.165.247	443	民康诊所云
120.26.205.16	80	中宝医药云
120.26.243.239	8443	医真云 - 互联网精准诊治医疗影像云平台
120.26.64.94	80	贵医云官网-在家也能看医生|视频看病、用药咨询、网络购药、三甲医院挂号诊疗、私人医生
120.26.74.223	80	生物无忧_医疗与生命科学技能提升云平台
120.27.107.153	9000	Login Page | YA C-MID 永安云智慧影像诊断系统
120.27.107.153	80	Login Page | YA C-MID 永安云智慧影像诊断系统
120.27.129.191	80	医真云 - 互联网精准诊治医疗影像云平台
120.27.129.191	443	医真云 - 互联网精准诊治全医技工作及协同平台
120.27.135.31	80	医真云 - 互联网精准诊治全医技工作及协同平台
120.27.161.124	443	医真云
120.27.161.124	80	医真云
120.27.161.127	443	医真云
120.27.161.127	80	医真云
120.27.185.250	443	医捷云综合医疗供应链管理平台
120.27.21.91	443	远程病理会诊
120.27.224.17	80	医掌云
120.27.23.125	8083	远程协同诊疗平台
120.27.23.125	8080	远程协同诊疗平台
120.27.23.125	8090	远程协同诊疗平台
120.55.197.200	443	医真云 - 互联网精准诊治医疗影像云平台
120.55.197.200	80	医真云 - 互联网精准诊治医疗影像云平台
120.55.197.200	80	医真云 - 互联网精准诊治全医技工作及协同平台
120.55.22.11	80	云诊
120.55.22.11	80	云诊
120.55.37.52	9999	牙医维小美医疗云
120.55.37.52	8080	牙医维小美医疗云
120.76.100.51	2080	固生堂中医-云药房
120.76.100.51	2080	固生堂中医-云药房
120.76.159.131	80	圣卫士?医透云
120.76.159.131	80	圣卫士?医透云
120.76.188.113	8088	医谷远程平台
120.76.20.163	80	医技协同云平台
120.76.213.51	80	放射云 - 医学影像从此简单
120.76.215.143	443	家云医疗服务平台
120.76.215.143	443	家云医疗服务平台
120.76.235.15	80	放射云 - 医学影像从此简单
120.76.235.15	80	放射云 - 医学影像从此简单
120.76.25.17	80	如一门诊云服务平台
120.77.150.161	80	云岩区人民医院
120.77.150.238	80	汇大夫皮肤云医
120.77.175.110	443	远程会诊平台
120.77.211.47	80	九阵集团——医共体信息化提供商  医疗云一体化领航者
120.77.219.140	80	世外医养云平台
120.77.48.22	443	家云医疗服务平台
120.77.48.22	80	家云医疗服务平台
120.77.51.218	8080	医云网--医疗级移动数据平台
120.77.51.218	80	医云网--医疗级移动数据平台
120.77.51.218	443	医云网--医疗级移动数据平台
120.77.87.199	80	崇华中医街_中国中医药养生文化第一街 - 崇华中医全球云平台
120.77.87.199	80	崇华中医网_中医考试_中医药健康养生文化知识网 - 崇华中医全球云平台
120.77.87.199	80	崇华传习书院国学网_弘扬经典国学知识传承中国传统文化网 - 崇华中医全球云平台
120.77.87.199	80	崇华中医全球云平台
120.77.87.199	80	崇华中医全球云平台
120.77.9.110	80	强本宇康 | 医学影像云服务平台
120.78.15.156	443	家云医疗服务平台
120.78.17.122	8080	健康云医生端
120.78.17.122	9999	健康云医生端
120.78.253.160	3000	阿鹿云诊所
120.78.253.46	50000	大医联邦云诊所
120.78.58.185	80	医汇云整形美容服务
120.78.58.185	443	医汇云整形美容服务
120.78.73.36	8080	健康云医生端
120.78.76.84	8080	健康云医生端
120.78.79.90	80	新丰县医联互通服务云
120.79.119.36	80	放射云 - 医学影像从此简单
120.79.254.204	80	智慧医联体远程医疗系统首页
120.79.254.204	80	智慧医联体远程医疗系统首页
120.79.78.168	8080	健康云医生端
121.196.237.155	80	中康（华西）健康管理云平台 - 成都体检中心|成都体检医院|成都体检预约
121.199.15.6	80	医时空_医时空_大医云系统_中医馆运营管理系统
121.31.67.5	8010	健康云医生端
121.40.141.82	8080	云医院数据分析系统 - 404错误
121.40.176.135	8080	远程医疗协同平台
121.40.177.133	80	家护云医
121.40.239.133	8085	医疗机构在线考核云平台
121.40.87.76	80	医真云 - 互联网精准诊治全医技工作及协同平台
121.41.48.133	443	医云在线后台登录
121.41.74.252	80	轻松牙医云-最专业的牙科管理软件
121.42.158.46	80	Login Page | YA C-MID 永安云智慧影像诊断系统
121.42.159.67	80	E云健康诊所管理系统
121.42.211.174	80	医药365云平台--您身边的健康服务专家
121.42.228.100	443	康之元电商-医疗健康云电商平台
121.43.101.187	80	远程病理诊断中心 - 登录
121.43.101.207	8888	远程病理诊断中心 - 登录
121.43.178.189	443	好医友远程医疗
121.43.187.157	80	基层医疗健康管理云平台
122.112.206.182	80	医网影像云
122.143.21.139	8080	吉林省远程会诊中心
122.225.19.138	18081	医掌云
122.70.132.168	80	云南中医医院男科特色库
122.70.132.168	8000	云南省中医医院风湿科特色数据库
123.1.189.51	80	医护云~~一个医护上门的云系统平台
123.103.116.7	443	39互联网医院-方便、权威的疑难重症二次诊断远程会诊平台
123.103.116.8	443	39互联网医院-方便、权威的疑难重症二次诊断远程会诊平台
123.151.22.76	9000	三健医疗云诊断系统
123.151.22.76	8081	三健云会诊APP
123.160.246.177	9191	贵州省远程医疗管理服务平台
123.206.15.66	80	医药365云平台--您身边的健康服务专家
123.206.34.191	80	登录 - 医众医学影像云计算平台
123.206.42.143	80	云诊所—专业面向诊所、门诊部等医疗机构的部署在云端的医疗服务管理软件
123.206.91.75	80	医真云 - 互联网精准诊治医疗影像云平台
123.207.118.184	8081	智能远程医疗管理系统
123.56.166.7	8090	极目云医
123.56.190.238	80	红医疗 - 远程服务平台
123.56.201.253	80	三健医疗云诊断系统
123.56.246.5	80	云上医生
123.56.246.5	80	云上医生
123.56.47.24	80	宜科(ESITCAL)品牌官网-云健康数据中心-中博宇(北京)医疗设备有限公司
123.56.9.160	80	医云病理登录
123.57.136.244	80	分级诊疗医联体系统-诊所管理软件系统-河南爱生谊联软件科技有限公司
123.57.209.21	80	美和视琦 儿童弱视 斜视 医疗云平台
123.57.209.21	443	美和视琦 儿童弱视 斜视 医疗云平台
123.57.39.99	80	骨大夫-中国专业骨科医疗云平台
123.57.7.35	80	眼科医联体O2O平台_国内眼科在线预约及远程就医平台
123.59.206.205	443	39互联网医院-方便、权威的疑难重症二次诊断远程会诊平台
123.59.206.205	80	39互联网医院-方便、权威的疑难重症二次诊断远程会诊平台
124.205.41.149	80	全军医学专科中心影像远程服务网
124.207.242.234	8088	远程医疗系统
124.232.133.74	8090	医学影像远程会诊平台
124.232.133.74	8084	博为101医学影像远程会诊平台
125.215.54.35	80	上海市白玉兰远程医学系统
125.43.14.206	443	医真云
125.43.14.206	80	医真云
125.43.14.207	80	医真云
125.43.14.207	443	医真云
125.43.14.213	443	医真云
125.43.14.213	80	医真云
125.43.14.221	80	医真云
139.129.10.60	443	出国看病_海外医疗_丙肝治疗_试管婴儿_生殖代孕_国际会诊/转-云医海外
139.129.193.133	80	医养云
139.129.193.57	80	广州景联信息科技智慧医院信息云系统 智慧天河 智慧医疗 天河社区卫生 基层医疗信息系统 公共卫生信息系统 广州市天河区卫生局
139.129.193.57	443	广州景联信息科技智慧医院信息云系统 智慧天河 智慧医疗 天河社区卫生 基层医疗信息系统 公共卫生信息系统 广州市天河区卫生局
139.129.194.148	80	水生动物疾病远程辅助诊断网
139.129.213.45	80	医患通远程会诊中心
139.129.213.45	443	医患通远程会诊中心
139.129.216.179	80	医模云平台
139.196.175.206	80	医视云
139.196.192.133	80	出国看病,远程会诊首选—好医友,三甲医院指定国际权威医疗平台.
139.196.192.133	80	出国看病,远程会诊首选—好医友,三甲医院指定国际权威医疗平台.
139.196.192.133	443	出国看病,远程会诊首选—好医友,三甲医院指定国际权威医疗平台.
139.196.39.78	80	徐汇云医院
139.196.39.78	80	徐汇云医院
139.196.77.214	80	眼康云诊
139.196.85.35	80	名医满堂——国内专业的肿瘤远程会诊平台。
139.199.15.35	80	爪挖云诊所运营平台
139.224.130.78	80	医疗设备云管理
139.224.133.46	80	智能远程医疗平台
139.224.133.46	443	智能远程医疗平台
139.224.196.254	8000	白露口腔门诊智慧云管理系统
139.224.20.172	80	术木医疗云 - 404 - Page Not Found
139.224.245.118	80	诊疗云|ETD
139.224.245.118	80	诊疗云|ETD
153.37.97.202	80	医真云 - 互联网精准诊治医疗影像云平台
153.37.97.205	443	医真云
153.37.97.205	80	医真云
153.37.97.206	443	医真云
153.37.97.206	80	医真云
153.37.97.209	443	医真云
153.37.97.209	80	医真云
153.37.97.210	443	医真云 - 互联网精准诊治医疗影像云平台
159.226.21.198	80	中科扁鹊远程智能诊断系统
159.226.21.198	443	中科扁鹊远程智能诊断系统
171.15.198.67	8443	首页-国家远程医疗中心
171.15.198.67	80	首页-河南省远程医学中心
180.101.185.57	8080	方正财税智能诊断云平台
180.101.185.61	8080	方正财税智能诊断云平台
180.169.38.83	80	医养云服务平台-V1.0.1802.06
180.76.146.25	80	登录-医学影像云服务平台
180.76.146.25	8060	登录-医学影像云服务平台
180.96.11.20	9000	后台管理-91360数字病理远程会诊平台
180.96.11.20	443	91360数字病理AI辅助诊断（病理人工智能/病理远程会诊/病理信息系统） - 91360.AI
180.97.80.159	443	健康Q博士远程问诊测试页面
182.254.220.236	80	远程医疗服务平台
182.254.242.11	9080	远程眼科医疗平台
182.92.156.88	8083	分级诊疗管理云平台-系统登录
182.92.164.59	8080	医诊云联远程会诊系统--登录
183.61.5.41	80	WSD 智慧云医院服务平台 V6.0
183.63.87.242	81	远程会诊系统登录页面
193.112.75.58	443	爪挖云诊所运营平台
202.100.182.218	443	医真云 - 互联网精准诊治全医技工作及协同平台
202.100.182.218	80	医真云 - 互联网精准诊治全医技工作及协同平台
202.100.182.220	443	医真云 - 互联网精准诊治医疗影像云平台
202.100.92.149	8090	首页 - 睡眠医联体睡眠医学中心
202.100.92.153	80	分级诊疗远程管理平台
202.111.171.73	8080	吉林医药云
202.111.171.73	80	吉林医药云
202.111.171.73	8080	吉林医药云
202.111.171.73	80	吉林医药云
202.121.32.192	80	上海中医药大学智慧能源云平台
202.203.40.150	8001	云南大学校医院健康管理系统
202.85.211.171	80	国家级现代服务业项目——慧影远程医疗网
202.98.152.86	80	医佳云-南充中心医院平台登录
203.171.229.121	80	云南昆明大滇男科医院
207.226.141.87	80	云上医疗——国际医疗服务平台。香港澳门台湾HPV疫苗预约|香港无创产检|香港基因检测|香港亲子鉴定
207.226.141.87	80	云上医疗——国际医疗服务平台。香港澳门台湾HPV疫苗预约|香港无创产检|香港基因检测|香港亲子鉴定
210.13.210.88	80	麦克奥迪数字病理远程会诊论坛
210.13.210.88	80	麦克奥迪数字病理远程会诊论坛
210.40.163.102	80	贵医影像云
210.40.176.24	80	云南中医学院教务网络管理系统
210.40.176.4	80	云南中医学院 - Yunnan University Of TCM
210.51.161.58	80	登录-慧学云智能学情诊断系统
210.73.61.215	80	古今医案云平台
210.75.252.79	80	雪嘎健康 -- 全科医生云服务平台
211.149.208.164	80	云南省第一人民医院-云南省第一人民医院
211.157.135.133	8080	远康医联体信息平台
211.157.135.213	80	远程专家会诊平台
211.160.74.13	80	北京大学人民医院远程医疗平台
218.108.177.98	80	远程会诊系统
218.202.254.88	80	远程医疗管理系统
218.205.114.77	443	医云病理登录
218.205.114.77	80	医云病理登录
218.205.114.81	80	众医云服 - 首页
218.207.200.173	80	福建省龙岩市第一医院远程医学管理系统
218.25.20.42	80	何氏眼科-远程会诊系统登录
218.25.20.42	8080	何氏眼科-远程会诊系统登录
218.25.20.42	80	何氏眼科-远程会诊系统登录
218.28.171.110	8080	郑州市中心医院 远程医学管理系统V1.0
218.29.75.83	80	郑州人民医院远程医学中心
218.57.146.171	443	浪潮派兰医疗科研一体化云平台
218.57.146.171	80	浪潮派兰医疗科研一体化云平台
218.60.41.150	443	3QC全球远程医疗会诊系统
218.60.41.242	443	3QC全球远程医疗会诊系统
218.77.58.47	443	云医会诊
218.80.250.86	80	医药云
219.144.132.194	80	西安陕鼓动力股份有限公司旋转机械远程在线监测及故障诊断中心
219.232.214.35	80	北京市远程会诊平台
220.166.97.72	9000	西南医科大学远程访问
220.167.62.133	80	医佳云-川北医学院附属医院平台登录
220.249.21.134	80	超声远程会诊系统
221.123.163.100	80	遗传诊断云平台
221.123.163.101	80	遗传诊断云平台
221.123.163.102	80	遗传诊断云平台
221.123.163.98	80	遗传诊断云平台
221.123.163.99	80	遗传诊断云平台
221.193.212.58	8080	蓝卫通远程会诊互动系统
221.204.48.200	80	迈普锡影像云医用平台
221.204.48.206	8080	山西医疗影像云
221.204.48.206	80	山西医疗影像云
221.213.100.126	8089	远程医疗管理系统
221.214.98.37	8080	远程医疗网
221.214.98.41	8080	远程医疗网
221.214.98.41	8080	远程医疗网
221.234.36.119	443	湖北省智慧兽医+云平台-登录
222.171.203.221	80	远程医疗平台
222.178.217.222	8000	渝北区域智能医疗健康云平台
222.179.179.36	8000	黔江区域智能医疗健康云平台
222.180.4.178	8000	丰都县区域智能医疗健康云平台
222.208.61.63	80	医佳云-简阳市人民医院平台登录
222.223.118.163	82	远程实时会诊系统
222.223.131.134	8081	极目云医院信息管理系统 - 登录
222.243.168.34	443	云医会诊
222.80.103.141	82	远程会诊系统登录页面
223.255.28.189	81	云县人民医院区域平台
223.71.128.7	8080	北京中医医院远程会诊
223.72.183.4	8086	远程会诊系统V1.0
223.87.179.45	80	柯尔迈远程医疗服务平台
36.102.230.19	80	云健康_寻医问药网
36.110.189.75	8080	北京朝阳医院远程医学中心
36.110.4.167	80	熙康远程会诊网
39.104.128.30	443	39互联网医院-方便、权威的疑难重症二次诊断远程会诊平台
39.105.63.54	80	远程医疗管理系统
39.106.131.226	80	医疗云|登录-京颐医疗云
39.106.22.86	80	云中医
39.106.22.86	443	云中医
39.106.22.86	8080	云中医
39.106.220.202	80	医智云
39.106.254.234	443	远程会诊管理系统
39.106.254.234	80	远程会诊管理系统
39.106.55.181	80	医+远程平台
39.107.192.62	80	华医心电远程诊断系统
39.108.113.71	80	医麦病理 - 病理专家远程会诊服务
39.108.113.71	443	医麦病理 - 病理专家远程会诊服务
39.108.123.41	80	安和寿云诊所
39.108.192.113	443	医号馆-云HIS诊所管理软件
39.108.5.235	80	汇贤达超声远程会诊系统
42.123.126.252	8089	欢迎访问神州医疗随访 神州医疗随访随诊云服务平台 - 神州医疗
42.123.70.71	80	中国电信医疗影像云
42.123.70.71	80	中国电信医疗影像云
42.123.97.21	80	贵州医技集成云平台
42.123.97.21	443	贵州医技集成云平台
42.123.97.21	80	贵州医技集成云平台
42.123.97.21	1000	贵州医技集成云平台
43.254.1.195	80	云帕斯医疗
47.100.115.239	80	眼康云诊
47.100.211.56	80	云医慧
47.100.247.24	443	云鹊医统一登录平台
47.100.4.139	443	智云医路
47.100.48.169	443	智能远程医疗平台
47.100.48.169	443	智能远程医疗平台
47.104.20.72	80	医药365云平台--您身边的健康服务专家
47.104.245.33	443	91云医院
47.104.4.249	443	云医声
47.74.184.107	8080	医疗云|登录-京颐医疗云
47.74.242.162	80	美医国际人工智能中美远程会诊医学平台 DocExpress AI Remote Consulting Platform
47.90.99.124	80	骨科医院行业云
47.90.99.124	80	骨科医院行业云
47.90.99.124	80	中医药行业云
47.92.100.23	80	医云联中医云平台
47.92.140.136	8084	医帆康云
47.92.51.180	80	云医讯
47.92.79.108	80	贵州云中医
47.93.123.229	8080	医疗云_云HIS_医疗解决方案-京颐医疗云
47.93.138.230	8084	北京大学病理中心远程诊断平台
47.93.212.28	443	医点通云平台
47.93.212.28	80	医点通云平台
47.94.191.93	9999	极目云医
47.94.37.144	80	海纳医云 weimage
47.94.39.215	443	农业云医
47.94.39.215	80	农业云医
47.94.56.11	80	汇医慧影-大数据智能分析云平台
47.94.56.242	80	人工智能诊断云平台
47.95.29.12	80	智能远程问诊系统
47.96.156.77	80	群医云后台管理系统 - 登录
47.96.175.215	443	青蛙云医
47.96.175.215	80	青蛙云医
47.96.175.215	80	青蛙云医
47.96.53.140	443	数字病理远程诊断系统
47.96.53.140	80	数字病理远程诊断系统
47.96.64.12	8080	医院云管理平台
47.96.91.240	443	医疗云
47.96.91.240	80	医疗云
47.97.114.187	80	安和寿云诊所
47.98.130.51	80	91云医院
47.98.130.51	443	91云医院
52.80.21.247	443	大医云管家
52.83.194.33	443	3QC全球远程医疗会诊系统
54.223.241.251	80	熙康远程会诊网
54.223.78.221	80	熙康远程会诊网
58.22.103.113	83	后台管理-福州迈新数字病理远程会诊平台
58.221.238.144	8080	健康云医生端
58.242.100.98	8082	依云医生
58.42.229.231	80	贵州医科大学附属白云医院
58.49.54.211	8081	远程会诊系统登录页面
58.67.201.23	443	健康云医生端
58.67.201.24	443	健康云医生端
58.67.201.28	80	健康云医生端
59.110.140.14	443	医云康
59.110.146.213	443	医疗云|登录-京颐医疗云
59.110.146.213	80	医疗云_云HIS_医疗解决方案-京颐医疗云
59.110.15.178	443	远程医疗平台
59.110.15.178	80	远程医疗平台
59.110.19.121	80	云图医学影像平台
59.110.28.168	80	华医心电远程诊断系统
59.110.53.224	80	远程医疗网站
59.110.88.57	8080	珑景智能云医疗系统
59.36.100.87	80	云南中医学院就业网
59.80.30.168	80	新致医疗云 云算天下医
59.80.30.168	80	新致医疗云 云算天下医
60.12.67.173	80	医云病理登录
60.12.67.173	443	医云病理登录
60.171.157.123	8008	安庆市心电远程诊断监测系统管理中心 - 登录页面
60.205.132.251	443	小贝云诊所登录
60.205.132.251	80	小贝云诊所登录
60.205.212.124	443	新云医疗_专注疼痛康复管理
60.205.227.57	80	东软医疗影像云
60.205.232.41	443	医疗云_云HIS_医疗解决方案-京颐医疗云
60.205.232.41	443	医疗云_云HIS_医疗解决方案-京颐医疗云
60.205.232.41	80	医疗云_云HIS_医疗解决方案-京颐医疗云
60.205.233.51	80	小贝云诊所登录
60.205.233.51	443	小贝云诊所登录
60.205.7.25	80	华医云智慧分级诊疗平台
60.208.82.152	80	济南远程智慧医学网络中心
60.219.166.202	8081	黑龙江省卫计委远程会诊云平台
61.147.108.40	8088	扬州御医宠爷宠物医院远程诊疗系统
61.147.67.94	80	远程医学影像平台—登录
61.147.67.94	80	易影&reg;-领先的互联网+医学影像云平台
61.159.200.133	7001	云南阜外医院综合管理平台
61.164.37.195	8081	云南中医学院地图
61.177.141.230	8088	远程诊断
61.177.141.230	8087	远程会诊
61.178.71.29	80	甘肃省妇幼远程会诊系统
98.126.17.133	80	眼睛-隐形眼镜-视康远程医学网
http://yc.huiyingmed.com/Account/DefaultLogin	80	海纳医信-慧影远程医疗网
113.200.93.101	83	海纳医信医疗影像信息管理系统
183.224.41.215	88	海纳医信医疗影像信息管理系统
120.132.56.100	80	海纳医信医疗影像信息管理系统
223.71.128.6	80	海纳医信医疗影像信息管理系统
54.223.110.38	81	海纳医信医疗影像信息管理系统
120.92.34.132	80	海纳医信医疗影像信息管理系统
106.75.80.5	80	海纳医信医疗影像信息管理系统
111.207.220.5	80	海纳医信医疗影像信息管理系统
120.92.209.171	80	海纳医信医疗影像信息管理系统
120.92.9.26	80	海纳医信医疗影像信息管理系统
221.192.138.81	80	海纳医信医疗影像信息管理系统
103.10.85.212	80	海纳医信医疗影像信息管理系统
118.187.32.116	80	海纳医信医疗影像信息管理系统
121.41.98.46	80	海纳医信（北京）软件科技有限责任公司- 网站首页
183.224.41.215	8090	海纳医信医疗影像信息管理系统
